product_name,category,price,stock_quantity
Laptop Pro,ElectRONICS,75000,10
Smartphone X,electronics,45000,25
Wireless Earbuds,ELECTRONICS,5000,
LED TV 42",electronics,38000,5
Refrigerator 300L,Home appliances,42000,3
Microwave Oven,HOME APPLIANCES,15000,8
Washing Machine,home Appliances,32000,4
Office Chair,Furniture,8000,15
Dining Table,furniture,25000,2
Sofa Set,FURNITURE,55000,1
Running Shoes,Fashion,4000,30
Jeans Men,fashion,2000,40
T-Shirt Women,FASHION,1500,50
Air Conditioner 1.5T,Electronics,52000,6
Water Purifier,Home Appliances,18000,
Bluetooth Speaker,Electronics,7000,20
Laptop Pro,Electronics,75000,10
Smartwatch Z,ElectRONICS,,18
Bookshelf,Furniture,12000,7
Ceiling Fan,home appliances,3500,12
